project,package,class,method,time
compgen-io,io.compgen.common,TallyCounts,incrementKey.(I)V,37
compgen-io,io.compgen.common,TallyCounts,getCount.(I)J,31
compgen-io,io.compgen.common.io,PeekableInputStream,peek.(I)[B,47
stickfigure,unsuck.lang,DateUtil,birthFloor.(I)Ljava/lang/Object;,40
stickfigure,unsuck.lang,DateUtil,calculateDaysAgoJoinedFloor.(I)Ljava/lang/Object;,39
stickfigure,unsuck.security,BCrypt,gensalt.(I)Ljava/lang/String;,627
sheryanresutov,GameBackEnd,Game,setLock.(I)V,38
sheryanresutov,GameBackEnd,Game,returnScore.(II)Ljava/lang/Object;,31
sheryanresutov,GameBackEnd,Game,dropPlayerFromSB.(I)Ljava/lang/Object;,30
sheryanresutov,GameBackEnd,Game,addPlayerToSB.(I)Ljava/lang/Object;,29
sheryanresutov,GameBackEnd,Game,leave.(I)V,27
sheryanresutov,GameBackEnd,Game,findPlayer.(I)Ljava/lang/Object;,30
sheryanresutov,GameBackEnd,Game,disconnectPlayer.(I)V,28
sheryanresutov,GameBackEnd,GameBoard,processSubmit.(III)I,31
sheryanresutov,GameBackEnd,GameBoard,addCards.(I)V,36
sheryanresutov,GameBackEnd,GameBoard,checkSet.(III)Z,32
sheryanresutov,GameBackEnd,GameBoard,removeSet.(III)V,30
sheryanresutov,GameBackEnd,GameLobby,createGame.(I)Ljava/lang/Object;,29
sheryanresutov,GameBackEnd,GameLobby,joinGame.(II)V,27
sheryanresutov,GameBackEnd,GameLobby,findGame.(I)Ljava/lang/Object;,29
sheryanresutov,GameBackEnd,GameLobby,findPlayer.(I)Ljava/lang/Object;,29
sheryanresutov,GameBackEnd,GameLobby,delPlayer.(I)V,29
sheryanresutov,gui,Card,getID.(I)I,202
sheryanresutov,gui,CardGrid,removeCard.(II)V,46
sheryanresutov,gui,CardGrid,animateRemoveCard.(I)V,43
sheryanresutov,gui,CardGrid,removeCard.(I)V,41
sheryanresutov,gui,CardGrid,setGameID.(I)V,28
sheryanresutov,gui,GamePanel,blockTimer.(I)V,31
sheryanresutov,gui,GamePanel,setTimer.(I)V,32
sheryanresutov,gui,GamePanel,setGameID.(I)V,47
sheryanresutov,gui,GamePanel,addCard.(I)V,28
sheryanresutov,gui,GamePanel,removePlayer.(I)V,28
sheryanresutov,gui,GamePanel,increaseScore.(I)V,28
sheryanresutov,gui,GamePanel,decreaseScore.(I)V,28
ricardocaldeira,controle,Con_Lote_Ezeq,setIdLote.(I)V,34
zhangruoxu,VC.CodeGen,Emitter,emitILOAD.(I)V,37
zhangruoxu,VC.CodeGen,Emitter,emitFLOAD.(I)V,38
zhangruoxu,VC.CodeGen,Emitter,emitALOAD.(I)V,37
zhangruoxu,VC.CodeGen,Emitter,emitASTORE.(I)V,37
zhangruoxu,VC.CodeGen,Emitter,emitICONST.(I)V,79
zhangruoxu,VC.CodeGen,Frame,push.(I)V,31
zhangruoxu,VC.CodeGen,Frame,pop.(I)V,30
zhangruoxu,VC.Scanner,SourceFile,inspectChar.(I)C,51
martincameron,ibxm,Data,sByte.(I)B,53
martincameron,ibxm,Data,uByte.(I)I,51
martincameron,ibxm,Data,ubeShort.(I)I,52
martincameron,ibxm,Data,uleShort.(I)I,52
martincameron,ibxm,Data,uleInt.(I)I,52
martincameron,ibxm,Data,load.(II)V,63
martincameron,ibxm,Envelope,calculateAmpl.(I)I,44
martincameron,ibxm,Sample,normaliseSampleIdx.(I)I,161
martincameron,micromod,Channel,updateSampleIdx.(II)V,32
martincameron,micromod,Channel,row.(IIII)V,36
martincameron,micromod,Channel,volumeSlide.(I)V,30
martincameron,micromod,Channel,waveform.(II)I,28
martincameron,micromod,Instrument,setVolume.(I)V,43
martincameron,micromod,Instrument,setFineTune.(I)V,43
martincameron,micromod,Instrument,normalizeSampleIdx.(I)I,35
martincameron,micromod,Macro,transpose.(III)I,29
martincameron,micromod,Macro,divide.(III)I,34
martincameron,micromod,Macro,sqrt.(I)I,28
martincameron,micromod,Note,periodToKey.(I)I,283
martincameron,micromod,Note,transpose.(II)I,198
martincameron,micromod,Note,keyToString.(I)Ljava/lang/String;,64
martincameron,micromod.compiler,AudioData,setSamplingRate.(I)V,30
martincameron,micromod.compiler,AudioData,scale.(I)Lmicromod/compiler/AudioData;,29
martincameron,micromod.compiler,AudioData,resample.(II)Lmicromod/compiler/AudioData;,30
martincameron,micromod.compiler,Note,setRepeat.(I)V,29
formychar,com.example.shahab123.seng301,page2,calculateTime.(I)V,30
allen-dolph,com.allendolph.f1results,NavigationDrawerFragment,selectItem.(I)V,30
isince,com.ndsince.dictsv.Adapter,CustomAdapter,upDateFavoriteslist.(I)V,35
isince,com.ndsince.dictsv.Adapter,CustomAdapter,getItemId.(I)J,33
isince,com.ndsince.dictsv.Adapter,CustomAdapter,menuListDialogAction.(II)V,29
bowser123467,com.dwarfscraft.musicbox,MusicThread,nextSong.(I)V,29
bmzhao,-,UtopianTree,UtopiaTree.(I)I,29
ey-,com.aje.logic16.app.GameLogic,GameLogic,buttonClicked.(I)V,29
ey-,com.aje.logic16.app.GameLogic,GameLogic,updatePlayerAssignment.(I)V,29
ey-,com.aje.logic16.app.serverApi,api,getScore.(I)Ljava/lang/Object;,29
ey-,com.aje.logic16.app.serverApi,api,getHighScore.(I)Ljava/lang/Object;,29
SalesforceEng,com.salesforce.keystone.roadrunner.nio.streams,ByteBufferOutputStream,write.(I)V,57
mithunkumarnallu,SchedulingAlgos,ProcessInfo,DecrementProcessBurstTime.(I)I,57
mithunkumarnallu,SchedulingAlgos,ProcessInfo,WaitForIO.(I)V,28
mithunkumarnallu,SchedulingAlgos,ProcessInfo,UpdateReadyQueueInsertTime.(I)V,29
mithunkumarnallu,SchedulingAlgos,ProcessInfo,UpdateReadyQueueWaitTime.(I)V,28
Notze,io.github.notze.redstoneswords,Events,toLevel.(II)I,97
swapneshgandhi,com.cloudwick.training.logging,Calculator,calulate.(II)I,33
zlim,jnt.scimark2,FFT,log2.(I)I,139
zlim,jnt.scimark2,MonteCarlo,num_flops.(I)D,30
zlim,jnt.scimark2,MonteCarlo,integrate.(I)D,37
harithan81,com.lm.service,BookService,placeHoldOnBook.(I)Ljava/lang/Object;,31
harithan81,com.lm.service,UserActivityService,returnBook.(I)Ljava/lang/Object;,31
alkatena,aviones.modelo,ScoreMax,esMayorElPuntaje.(I)Z,35
alkatena,aviones.modelo,ScoreMax,actualizarPuntaje.(I)V,35
sarvex,com.sarvex.snow,PlaybackOverlayFragment,updatePlaybackRow.(I)V,31
DunnR,-,BinaryTree,search.(I)Z,52
DunnR,-,BinaryTree,add.(I)V,33
divinebooger,-,Calculator,add.(II)I,30
divinebooger,-,Calculator,multiply.(II)I,35
divinebooger,-,Calculator,printHistory.(I)V,35
divinebooger,-,ExceptionDemo,printPositiveNumber.(I)V,38
divinebooger,-,ArrayList61B,get.(I)Ljava/lang/Object;,40
divinebooger,-,GenericList,get.(I)Ljava/lang/Object;,33
divinebooger,-,ObjectList,get.(I)Ljava/lang/Object;,32
divinebooger,huglife,HugLife,simulate.(I)V,39
divinebooger,huglife,HugLife,simulate.(II)V,38
divinebooger,huglife,HugLifeUtils,randomInt.(II)I,32
divinebooger,huglife,HugLifeUtils,randomInt.(I)I,32
divinebooger,huglife,StdDraw,setCanvasSize.(II)V,141
divinebooger,huglife,StdDraw,setPenColor.(III)V,112
divinebooger,huglife,StdDraw,show.(I)V,97
divinebooger,huglife,StdDraw,isKeyPressed.(I)Z,106
divinebooger,-,Board,drawBoard.(II)V,347
divinebooger,-,Board,function.(I)I,30
divinebooger,-,Board,occupy.(II)V,28
divinebooger,-,Board,unoccupy.(II)V,28
divinebooger,-,Piece,move.(II)V,30
divinebooger,-,StdDrawDemo,drawBoard.(I)V,41
divinebooger,-,StdDrawPlus,setCanvasSize.(II)V,99
divinebooger,-,StdDrawPlus,setPenColor.(III)V,94
divinebooger,-,StdDrawPlus,show.(I)V,92
divinebooger,-,StdDrawPlus,isKeyPressed.(I)Z,101
divinebooger,ngordnet,NGramMap,getRecord.(I)Ljava/lang/Object;,29
clhernandez,cl.usach.lab1.db.DAO.finanzas,ClienteDAO,eliminarCliente.(I)Z,36
clhernandez,cl.usach.lab1.db.DAO.finanzas,ClienteDAO,getClienteById.(I)Ljava/lang/Object;,30
clhernandez,cl.usach.lab1.db.DAO.rrhh,CargoDAO,eliminarCargo.(I)Z,30
clhernandez,cl.usach.lab1.db.DAO.rrhh,CargoDAO,getCargoById.(I)Ljava/lang/Object;,33
clhernandez,cl.usach.lab1.db.DAO.rrhh,DepartamentoDAO,eliminarDepartamento.(I)Z,32
clhernandez,cl.usach.lab1.db.DAO.rrhh,DepartamentoDAO,getDepartamentoById.(I)Ljava/lang/Object;,29
clhernandez,cl.usach.lab1.db.DAO.rrhh,TrabajadorDAO,eliminarTrabajador.(I)Z,30
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,eliminarCliente.(I)Z,31
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,getClienteById.(I)Ljava/lang/Object;,30
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,eliminarProducto.(I)Z,30
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,getProductoById.(I)Ljava/lang/Object;,30
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,eliminarOrdenProducto.(I)Z,29
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,getOrdenProductoById.(I)Ljava/lang/Object;,33
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,eliminarOrden.(I)Z,30
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,getOrdenById.(I)Ljava/lang/Object;,30
clhernandez,cl.usach.lab1.rrhh.rmi.client,ClienteRrhhRMI,eliminarTrabajador.(I)Z,30
clhernandez,cl.usach.lab1.rrhh.rmi.client,ClienteRrhhRMI,eliminarCargo.(I)Z,29
clhernandez,cl.usach.lab1.rrhh.rmi.client,ClienteRrhhRMI,getCargoById.(I)Ljava/lang/Object;,29
clhernandez,cl.usach.lab1.rrhh.rmi.client,ClienteRrhhRMI,eliminarDepartamento.(I)Z,31
clhernandez,cl.usach.lab1.rrhh.rmi.client,ClienteRrhhRMI,getDepartamentoById.(I)Ljava/lang/Object;,29
PrudhviRaju123,akron.zippy.app,HomeScreen21,displayView.(I)V,29
flypigrmvb,kankan.wheel.widget.adapters,NumericWheelAdapter,getItemText.(I)Ljava/lang/Object;,29
harrydet,com.example.harry.wakeup,MainScreen,onListItemSelected.(I)V,31
harrydet,com.example.harry.wakeup.adapters,ListTaskListAdapter,getItemId.(I)J,42
harrydet,com.example.harry.wakeup.adapters,ListTaskListAdapter,deleteItem.(I)V,29
jglewis93,com.example.jon.restroomradar,SchemaContract,getLatitude.(I)D,31
jglewis93,com.example.jon.restroomradar,SchemaContract,getLongitude.(I)D,30
jglewis93,com.example.jon.restroomradar,SchemaContract,getTitle.(I)Ljava/lang/Object;,31
jglewis93,com.example.jon.restroomradar,SchemaContract,getDescription.(I)Ljava/lang/Object;,31
jalpan-randeri,model,Dataset,getPoint.(I)Ljava/lang/Object;,30
AlecinVan,storm.ingress.kafka,StaticPartitionConnections,getConsumer.(I)Ljava/lang/Object;,30
AlecinVan,storm.ingress.tools,SlidingWindowCounter,slotAfter.(I)I,30
AlecinVan,storm.ingress.tools,SlotBasedCounter,wipeSlot.(I)V,29
tkleisas,org.teacake.monolith.apk,HighScoreTable,isHighScore.(I)Z,30
tkleisas,org.teacake.monolith.apk,LinearInterpolator,getValue.(I)F,30
tkleisas,org.teacake.monolith.apk,SoundPoolManager,stopSound.(I)V,28
tkleisas,org.teacake.monolith.apk,SoundPoolManager,playSound.(I)V,30
tkleisas,org.teacake.monolith.apk,SoundPoolManager,startMusic.(I)V,29
tkleisas,org.teacake.monolith.apk,SoundPoolManager,stopMusic.(I)V,29
tkleisas,org.teacake.monolith.apk,SoundPoolManager,pauseMusic.(I)V,28
tkleisas,org.teacake.monolith.apk,SoundPoolManager,resumeMusic.(I)V,29
clrung,-,Heap,exchange.(II)V,28
clrung,-,Heap,heapifyUp.(I)V,43
clrung,-,Heap,heapifyDown.(I)V,31
clrung,-,Heap,parent.(I)I,28
clrung,-,Heap,right.(I)I,28
clrung,-,Heap,left.(I)I,28
eevans,SevenZip.Compression.LZ,InWindow,GetIndexByte.(I)B,30
eevans,SevenZip.Compression.LZ,InWindow,GetMatchLen.(III)I,37
eevans,SevenZip.Compression.LZ,InWindow,ReduceOffsets.(I)V,34
eevans,SevenZip.Compression.LZ,OutWindow,CopyBlock.(II)V,59
eevans,SevenZip.Compression.LZ,OutWindow,GetByte.(I)B,36
eevans,SevenZip.Compression.LZMA,Base,StateUpdateChar.(I)I,50
eevans,SevenZip.Compression.LZMA,Base,StateUpdateMatch.(I)I,36
eevans,SevenZip.Compression.LZMA,Base,StateUpdateRep.(I)I,42
eevans,SevenZip.Compression.LZMA,Base,StateUpdateShortRep.(I)I,36
eevans,SevenZip.Compression.LZMA,Base,StateIsCharState.(I)Z,35
eevans,SevenZip.Compression.LZMA,Base,GetLenToPosState.(I)I,35
eevans,SevenZip.Compression.LZMA,Decoder,SetDictionarySize.(I)Z,31
eevans,SevenZip.Compression.LZMA,Decoder,SetLcLpPb.(III)Z,31
eevans,SevenZip.Compression.RangeCoder,Decoder,DecodeDirectBits.(I)I,37
xianc,-,Cell,groupSolve.(IIII)V,214
MikeLydeamore,cofh.gui,GuiTextList,mouseClicked.(IIII)Ljava/lang/Object;,30
MikeLydeamore,cofh.gui,GuiTextList,selectLine.(I)V,32
MikeLydeamore,cofh.gui.client,GuiFriendsList,drawGuiContainerForegroundLayer.(II)V,31
MikeLydeamore,cofh.gui.client,GuiFriendsList,mouseClicked.(III)V,32
MikeLydeamore,cofh.item,ItemBase,getIconFromDamage.(I)Ljava/lang/Object;,30
MikeLydeamore,powercrystals.core.gui.controls,Button,drawForeground.(II)V,28
MikeLydeamore,powercrystals.core.gui.controls,Button,getTextColor.(II)I,34
MikeLydeamore,powercrystals.core.gui.controls,Button,onMousePressed.(III)Z,44
MikeLydeamore,powercrystals.core.gui.controls,ListBox,removeAt.(I)V,29
MikeLydeamore,powercrystals.core.gui.controls,ListBox,drawForeground.(II)V,32
MikeLydeamore,powercrystals.core.gui.controls,ListBox,onMousePressed.(III)Z,38
MikeLydeamore,powercrystals.core.gui.controls,ListBox,onMouseWheel.(III)Z,41
MikeLydeamore,powercrystals.core.gui.controls,ListBox,setSelectedIndex.(I)V,30
MikeLydeamore,powercrystals.core.gui.controls,ListBox,scrollTo.(I)V,31
MikeLydeamore,powercrystals.core.gui.controls,ListBox,onScroll.(I)V,28
tliu17,-,DirectedMatrixGraph,addEdge.(II)V,51
tliu17,-,DirectedMatrixGraph,areNeighbors.(II)Z,37
tliu17,-,ListGraph,addEdge.(II)V,37
tliu17,-,ListGraph,getNeighbors.(I)Ljava/util/List;,30
tliu17,-,ListGraph,areNeighbors.(II)Z,43
tliu17,-,MatrixGraph,addEdge.(II)V,36
tliu17,-,MatrixGraph,areNeighbors.(II)Z,35
tliu17,-,ClosedHashing,delete.(II)V,40
tliu17,-,ClosedHashing,lookUp.(I)V,34
tliu17,-,OpenHashing,printTable.(I)V,42
rails-school,org.railsschool.tiramisu.views.patterns,ReminderSeekbarLabelPattern,_setCurrent.(I)V,31
voodoodyne,org.subethamail.smtp.io,CRLFOutputStream,write.(I)V,61
voodoodyne,org.subethamail.smtp.io,ExtraDotOutputStream,write.(I)V,30
voodoodyne,org.subethamail.smtp.io,ThresholdingOutputStream,write.(I)V,51
voodoodyne,org.subethamail.smtp.io,ThresholdingOutputStream,checkThreshold.(I)V,30
voodoodyne,org.subethamail.smtp.io,ThresholdingOutputStream,thresholdReached.(II)V,36
voodoodyne,org.subethamail.smtp.server,SMTPServer,setPort.(I)V,28
voodoodyne,org.subethamail.smtp.server,SMTPServer,setBacklog.(I)V,28
voodoodyne,org.subethamail.smtp.server,SMTPServer,setMaxConnections.(I)V,29
voodoodyne,org.subethamail.smtp.server,SMTPServer,setConnectionTimeout.(I)V,27
voodoodyne,org.subethamail.smtp.server,SMTPServer,setMaxRecipients.(I)V,28
voodoodyne,org.subethamail.smtp.server,SMTPServer,setMaxMessageSize.(I)V,41
mookie1097,mooklabs.ivdconnect,NavigationDrawerFragment,selectItem.(I)V,30
WyattPearson,ui,DrawPanel,resizeImage.(II)V,140
WyattPearson,ui,DrawPanel,setBounds.(IIII)V,115
WyattPearson,ui,DrawPanel,setSize.(II)V,111
WyattPearson,-,ReversiGame,flipLine.(IIII)V,30
WyattPearson,-,ReversiGame,flip.(II)V,29
WyattPearson,-,HailstoneGUI,record.(II)V,29
WyattPearson,-,HailstoneGenerator,hailstone.(I)I,35
WyattPearson,server,ReversiGame,flip.(II)V,30
WyattPearson,server,ReversiGame,flipLine.(IIII)V,90
WyattPearson,client,GameController,place.(II)V,31
WyattPearson,-,Board,drawBoard.(II)V,365
WyattPearson,-,Board,function.(I)I,31
WyattPearson,-,Board,occupy.(II)V,29
WyattPearson,-,Board,unoccupy.(II)V,29
linsonzhao,video.app.autobahn,ByteBufferOutputStream,expand.(I)V,35
linsonzhao,video.app.autobahn,ByteBufferOutputStream,write.(I)V,28
linsonzhao,video.app.autobahn,WebSocketOptions,setMaxFramePayloadSize.(I)V,36
linsonzhao,video.app.autobahn,WebSocketOptions,setMaxMessagePayloadSize.(I)V,40
linsonzhao,video.app.autobahn,WebSocketOptions,setSocketReceiveTimeout.(I)V,36
linsonzhao,video.app.autobahn,WebSocketOptions,setSocketConnectTimeout.(I)V,47
linsonzhao,video.app.autobahn,WebSocketOptions,setReconnectInterval.(I)V,40
linsonzhao,video.app.com.views,ScallingImageView,setMaxWidth.(I)V,30
linsonzhao,video.app.com.views,ScallingImageView,setMaxHeight.(I)V,31
linsonzhao,video.app.com.views,ScallingImageView,onMeasure.(II)V,32
linsonzhao,video.app.com.views,ScallingImageView,resolveAdjustedSize.(III)I,31
jfedor2,org.jfedor.nxtremotecontrol,SquareImageButton,onMeasure.(II)V,31
nemui,deep.dark.lonebrewer,LBWFCompanionConfigActivity,startColourPicking.(I)V,34
nemui,deep.dark.lonebrewer,LBWFCompanionConfigActivity,onConnectionSuspended.(I)V,29
Jumping-alien-W-and-M,jumpingalien.model,Slime,hit.(I)V,31
Jumping-alien-W-and-M,jumpingalien.model,World,setXWindow.(I)V,29
Jumping-alien-W-and-M,jumpingalien.model,World,setYWindow.(I)V,29
Jumping-alien-W-and-M,jumpingalien.model,World,getProperXWindow.(I)I,31
Jumping-alien-W-and-M,jumpingalien.model,World,getProperYWindow.(I)I,31
Jumping-alien-W-and-M,jumpingalien.model,World,setWindowWidth.(I)V,28
Jumping-alien-W-and-M,jumpingalien.model,World,setWindowHeight.(I)V,28
Jumping-alien-W-and-M,jumpingalien.model,World,getTilePos.(I)I,31
Jumping-alien-W-and-M,jumpingalien.model,World,getHash.(II)I,31
Jumping-alien-W-and-M,jumpingalien.model,World,setXWindow.(I)V,29
Jumping-alien-W-and-M,jumpingalien.model,World,setYWindow.(I)V,29
Jumping-alien-W-and-M,jumpingalien.model,World,getProperXWindow.(I)I,30
Jumping-alien-W-and-M,jumpingalien.model,World,getProperYWindow.(I)I,30
Jumping-alien-W-and-M,jumpingalien.model,World,setWindowWidth.(I)V,30
Jumping-alien-W-and-M,jumpingalien.model,World,setWindowHeight.(I)V,29
Jumping-alien-W-and-M,jumpingalien.model,World,getTilePos.(I)I,31
Jumping-alien-W-and-M,jumpingalien.model,World,getHash.(II)I,57
harrisca,com.zephyrus.testapp.carletonenergyapp.app,MainActivity,setCurrentView.(I)V,28
sephiroth74,it.sephiroth.android.library.overlaymenu,OverMenuView,createMenuOverlay.(I)V,31
sephiroth74,it.sephiroth.android.library.overlaymenu,OverMenuView,setDefaultPosition.(I)V,37
sudobash1,pbsc,PbscCompiler,generateSymTabComment.(II)Ljava/lang/Object;,47
jn222na,com.example.DAL,CRUD,getTask.(I)Ljava/lang/Object;,46
phil132,de.gistribution.beuth.phil.gistribution_v1,NavigationDrawerFragment,selectItem.(I)V,27
supernova-cmu,CV,CrossValidation,shuffle.(I)V,31
supernova-cmu,CV,CrossValidation,validate.(I)Ljava/lang/Object;,29
supernova-cmu,CV,CrossValidationWithPruning,shuffle.(I)V,28
supernova-cmu,CV,CrossValidationWithPruning,validate.(I)Ljava/lang/Object;,31
dumchikov,chickens.kharkov.ua.chickens,TabsViewPagerAdapter,getItem.(I)Ljava/lang/Object;,29
dumchikov,com.grumoon.pulllistview,PullListView,canScroll.(I)Z,29
jlnunn2372,main.java.bubblePopper,ScoreBoardController,setScore.(I)V,29
jlnunn2372,main.java.bubblePopper,ScoreBoardController,setHighScore.(I)V,36
jlnunn2372,main.java.bubblePopper,ScoreBoardController,comapreScore.(I)V,32
jlnunn2372,main.java.bubblePopper,ScoreBoardController,addScoreToList.(II)V,30
jlnunn2372,bubblePopper,ScoreBoardController,setScore.(I)V,29
jlnunn2372,bubblePopper,ScoreBoardController,setHighScore.(I)V,29
jlnunn2372,bubblePopper,ScoreBoardController,comapreScore.(I)V,42
jlnunn2372,bubblePopper,ScoreBoardController,addScoreToList.(II)V,29
ParthoShuvo,com.apppreview.shuvojit.androiddatabase.databases,StudentDatabase,getStudentInfoList.(I)Ljava/lang/Object;,36
twitter,com.twitter.http2,HttpConnection,isRemoteSideClosed.(I)Z,39
twitter,com.twitter.http2,HttpConnection,isLocalSideClosed.(I)Z,29
twitter,com.twitter.http2,HttpConnection,getSendWindowSize.(I)I,29
twitter,com.twitter.http2,HttpConnection,updateSendWindowSize.(II)I,30
twitter,com.twitter.http2,HttpConnection,updateReceiveWindowSize.(II)I,29
twitter,com.twitter.http2,HttpConnection,getReceiveWindowSizeLowerBound.(I)I,30
twitter,com.twitter.http2,HttpConnection,updateAllSendWindowSizes.(I)V,28
twitter,com.twitter.http2,HttpConnection,updateAllReceiveWindowSizes.(I)V,27
twitter,com.twitter.http2,HttpConnection,getPendingWrite.(I)Ljava/lang/Object;,29
twitter,com.twitter.http2,HttpHeaderBlockEncoder,setEncoderMaxHeaderTableSize.(I)V,30
twitter,com.twitter.http2,HttpHeaderBlockEncoder,setDecoderMaxHeaderTableSize.(I)V,30
asutoshpalai,server,HTTPServer,runServer.(I)V,74
SvenDub,nl.svendubbeld.car.activity,CarActivity,onConnectionSuspended.(I)V,28
SvenDub,nl.svendubbeld.car.activity,CarActivity,onGpsStatusChanged.(I)V,33
vdzundza,main,HashMap,getIndex.(I)I,33
vdzundza,main,HashMap,get.(I)Ljava/lang/Object;,29
yxsu,com.petuum.ps.common.util,VectorClock,isUniqueMin.(I)Z,31
yxsu,com.petuum.ps.common.util,VectorClock,addClock.(II)V,30
yxsu,com.petuum.ps.common.util,VectorClock,tick.(I)I,32
yxsu,com.petuum.ps.common.util,VectorClock,getClock.(I)I,31
yxsu,com.petuum.ps.server,CallBackSubs,subscribe.(I)Z,32
yxsu,com.petuum.ps.server,CallBackSubs,unsubscribe.(I)Z,30
yxsu,com.petuum.ps.server,Server,init.(I)V,30
yxsu,com.petuum.ps.server,Server,addClientBgPair.(II)V,33
yxsu,com.petuum.ps.server,Server,findCreateRow.(II)Ljava/lang/Object;,31
yxsu,com.petuum.ps.server,Server,clock.(II)Z,36
yxsu,com.petuum.ps.server,Server,addRowRequest.(IIII)V,32
yxsu,com.petuum.ps.server,Server,getBgVersion.(I)I,32
yxsu,com.petuum.ps.server,ServerRow,subscribe.(I)V,52
yxsu,com.petuum.ps.server,ServerRow,unsubscribe.(I)V,31
yxsu,com.petuum.ps.thread,SSPRowRequestOpLogMgr,cleanVersionOpLogs.(II)V,41
yxsu,com.petuum.ps.thread,SSPRowRequestOpLogMgr,serverAcknowledgeVersion.(II)V,29
yxsu,com.petuum.ps.thread,SSPRowRequestOpLogMgr,opLogIterInit.(II)Ljava/lang/Object;,30
thergbway,gui,MazeVisualizer,addAppropriateFlagIfPossible.(II)V,30
Ehb-IPG13,be.ehb.ipg13.fastjobs,NavigationDrawerFragment,selectItem.(I)V,30
fiddenmar,com.jlabs.lab6,EncodingCipher,getEncoding.(I)Ljava/lang/String;,64
leetea,com.androidexample.noisealert,SoundLevelView,setLevel.(II)V,30
jordanywhite,edu.up.cs301.game,GameHumanPlayer,flash.(II)V,30
jordanywhite,edu.up.cs301.game.config,GameConfig,removePlayer.(I)V,35
jordanywhite,edu.up.cs301.game.config,GameConfig,getSelName.(I)Ljava/lang/Object;,30
jordanywhite,edu.up.cs301.game.config,GameConfig,getSelType.(I)Ljava/lang/Object;,31
jordanywhite,edu.up.cs301.game.config,GameConfig,setRemoteSelType.(I)V,45
jordanywhite,edu.up.cs301.othello,OthelloState,isLegalMove.(II)Z,30
jordanywhite,edu.up.cs301.othello,OthelloState,playDisk.(II)V,29
jordanywhite,edu.up.cs301.othello,OthelloState,getDisk.(II)Ljava/lang/Object;,30
jordanywhite,edu.up.cs301.othello,OthelloState,setTurn.(I)V,30
jhonnybsg,br.com.gamezes.presenter,GameStartScreenPresenter,virifyMove.(I)V,30
jhonnybsg,br.com.gamezes.screens,PlayerSelectScreen,touchDown.(IIII)Z,29
jhonnybsg,br.com.gamezes.screens,PlayerSelectScreen,touchUp.(IIII)Z,30
jhonnybsg,br.com.gamezes.screens,PlayerSelectScreen,touchDragged.(III)Z,29
jhonnybsg,br.com.gamezes.screens,PlayerSelectScreen,keyDown.(I)Z,30
jhonnybsg,br.com.gamezes.screens,PlayerSelectScreen,keyUp.(I)Z,28
jhonnybsg,br.com.gamezes.screens,PlayerSelectScreen,mouseMoved.(II)Z,28
jhonnybsg,br.com.gamezes.screens,PlayerSelectScreen,scrolled.(I)Z,28
kschlorff16,-,Picture,get.(II)Ljava/awt/Color;,44
danielsnipher,br.com.fiap.blind,DesambiguaVoz,onInit.(I)V,40
danielsnipher,br.com.fiap.blind,MapRouteActivity,onInit.(I)V,30
DShamaev,com.hikimori911.mylastfmclient.appinterface,MainMenuAdapter,getItemViewType.(I)I,29
DShamaev,com.hikimori911.mylastfmclient.appinterface,MainMenuAdapter,isPositionHeader.(I)Z,34
DShamaev,com.hikimori911.mylastfmclient.appinterface,MainMenuFragment,selectItem.(I)V,30
unaveed,asteroids,Debris,createDebris.(I)Ljava/lang/Object;,43
chrisschroeder92,edu.augustana.csc490.phoenix,Bullet,checkOnScreen.(I)Z,33
daniellebryant,edu.augustana.csc490.individualgame,GamePiece,contains.(II)Z,30
daniellebryant,edu.augustana.csc490.individualgame,GamePiece,setOwner.(I)V,33
Tyrtle,trevorwarner.individualgame,Brick,setBrickHealth.(I)V,31
Tyrtle,trevorwarner.individualgame,UpgradesShop,increasePrice.(II)I,33
ronenfilho,com.imagery.imagerymedical,FullScreenViewActivity,adjustImageAspect.(II)V,49
ronenfilho,com.imagery.imagerymedical,MainActivity,displayView.(I)V,34
xcerox,com.libreriajRR.seguridad,CoreValidacion,isSymbol.(I)Z,33
spiritistz,com.wordpress.hifilmtheapp,MainActivity,getOutputMediaFile.(I)Ljava/lang/Object;,29
vehicle-history,io.vehiclehistory.adapter,VehicleDataAdapter,getItem.(I)Ljava/lang/Object;,31
vehicle-history,io.vehiclehistory.fragment,NavigationDrawerFragment,selectItem.(I)V,30
niosus,com.learnit.learnit.activities,HomeworkActivity,removeWordFromActiveList.(I)V,30
niosus,com.learnit.learnit.fragments.learn_fragments,AbstractLearnFragment,onAnimationStarted.(II)V,29
niosus,com.learnit.learnit.fragments.learn_fragments,AbstractLearnFragment,onAnimationFinished.(II)V,28
