project,package,class,method,time_green
stickfigure,unsuck.lang,DateUtil,calculateDaysAgoJoinedFloor.(I)Ljava/lang/Object;,30
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,writeInternal.(I)V,32
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingActivity,findViewById.(I)Ljava/lang/Object;,29
eevans,SevenZip.Compression.LZMA,Base,GetLenToPosState.(I)I,32
srivathsarao,com.vertexnet.realestate.model.tablemodel,AgentsTableModel,getValueAt.(II)Ljava/lang/Object;,29
mithunkumarnallu,SchedulingAlgos,ProcessInfo,DecrementProcessBurstTime.(I)I,43
abraxasson,at.abraxas.amarino.plugins.compass,EditActivity,getRate.(I)I,36
kawsar-ahmed,demo,Demo,multiply.(II)I,56
Mandrivia,main,ProblemData,getTargetIndex.(II)I,28
endangh,p9.c,ArraysMatakuliah,get.(I)Ljava/lang/Object;,26
leetea,com.androidexample.noisealert,SoundLevelView,setLevel.(II)V,28
WyattPearson,-,HailstoneGenerator,hailstone.(I)I,32
divinebooger,-,StdDrawDemo,drawBoard.(I)V,32
clear2zero,com.ksy.media.widget,MediaPlayerView,doScreenOrientationRotate.(I)V,26
TBtomislav,jxl.write.biff,WritableWorkbookImpl,getLastExternalSheetName.(I)Ljava/lang/Object;,28
lzh9102,zxinggui.generator,GeneratorManager,getGenerator.(I)Ljava/lang/Object;,29
ronenfilho,com.imagery.imagerymedical,MainActivity,displayView.(I)V,27
Shanmathi1,edu.uic.cs583.msgsp,Input,min.(II)I,30
immlf,ua.pp.lab101.synthesizercontrol.ftdiconverter,DataConverter,returnClearBitMask.(I)B,27
Jumping-alien-W-and-M,jumpingalien.model,World,getHash.(II)I,29
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,isValidSlot.(I)Z,29
hpu-spring87,com.hpuvoice.XlistView,XListViewHeader,setState.(I)V,28
linsonzhao,video.app.com.views,ScallingImageView,setMaxWidth.(I)V,28
hpu-spring87,com.hpuvoice.XlistView,XListViewFooter,setBottomMargin.(I)V,28
twitter,com.twitter.http2,HttpConnection,updateReceiveWindowSize.(II)I,29
eevans,SevenZip.Compression.LZMA,Decoder,SetDictionarySize.(I)Z,29
TBtomislav,jxl.biff,BuiltInName,getBuiltInName.(I)Ljxl/biff/BuiltInName;,252
Mandrivia,main,ProblemData,setnZ.(I)V,36
divinebooger,-,StdDrawPlus,show.(I)V,107
jeremux,serveur,GraphImpl,getCptMessage.(I)I,32
sheryanresutov,GameBackEnd,GameBoard,addCards.(I)V,29
voodoodyne,org.subethamail.smtp.io,CRLFOutputStream,write.(I)V,32
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,setFacing.(I)Z,31
fbrass,de.spqr.inventorychangeapp,PartServer,changeDoorAmount.(I)Z,30
boulderalf,com.boulderalf.markdown2mm,ToMmSerializer,createNode.(I)Ljava/lang/Object;,31
butlersrepos,dungeonDigger.entities.templates,ZombieTemplate,newCon.(I)I,29
clhernandez,cl.usach.lab1.db.DAO.rrhh,DepartamentoDAO,eliminarDepartamento.(I)Z,29
dezouzart,service,SmartBusca,heuristica.(IIII)I,29
yxsu,com.petuum.ps.server,ServerRow,unsubscribe.(I)V,29
KenyStev,com.ZeroStudio.Algorimos.week1,QuickUnionUF,root.(I)I,28
fabiuz7,edu.priceton.cs.graph,GraphGenerator,regular.(II)Ljava/lang/Object;,28
The-WUUSTER,-,Plausibility,indexLookup.(I)I,51
divinebooger,huglife,HugLifeUtils,randomInt.(II)I,30
martincameron,micromod,Channel,updateSampleIdx.(II)V,28
linsonzhao,video.app.com.views,ScallingImageView,onMeasure.(II)V,28
abraxasson,at.abraxas.amarino.plugins.compass,EditActivity,getRateText.(I)Ljava/lang/Object;,27
divinebooger,-,Board,getPos.(I)Ljava/lang/Object;,27
zlim,jnt.scimark2,MonteCarlo,integrate.(I)D,29
luizrogeriocn,-,ListaDeCantinas,getEstoqueByPort.(I)I,28
martincameron,micromod,Macro,divide.(III)I,29
hpu-spring87,com.hpuvoice.app,ContentActivity,onPageSelected.(I)V,31
tliu17,-,MatrixGraph,getNeighbors.(I)[I,28
yitaohu,cs61b_project1,PixImage,getGreen.(II)S,29
bashizip,com.bashizip.andromed,QuotesActivity,displayQuote.(I)V,30
n11com,com.n11.tech.endlessadapter.adapter,EndlessAdapter,getItemId.(I)J,27
online-solutions,plus.studio.beta.streamvideo.mediacontroller,VideoControllerView,show.(I)V,30
halfjew22,net.everythingandroid.timer,TimerActivity,switchTimerInputMethod.(I)V,30
clear2zero,com.ksy.media.player,BaseMediaPlayer,notifyOnError.(II)Z,39
fabiuz7,edu.priceton.cs.graph,GraphGenerator,completeBipartite.(II)Ljava/lang/Object;,28
caseyjames,FinalProject,PriorityQueueHEAP,percolateDown.(I)V,38
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getInitialWindowSize.(I)I,29
nemui,deep.dark.lonebrewer,LBWFCompanionConfigActivity,startColourPicking.(I)V,27
srivathsarao,com.vertexnet.realestate.model.tablemodel,SitePaymentTableModel,getValueAt.(II)Ljava/lang/Object;,28
linsonzhao,video.app.autobahn,ByteBufferOutputStream,write.(I)V,44
sudobash1,pbsc,PbscCompiler,generateSymTabComment.(II)Ljava/lang/Object;,31
Jumping-alien-W-and-M,jumpingalien.common.sprites,ImageSprite,resizeTo.(II)Ljava/lang/Object;,41
alexditu,ro.pub.cs.systems.pdsd.lab05.sample11listfragment.controller,CartoonAdapter,getItemViewType.(I)I,28
xujiabin,com.zol.backserver.util.date,DateConvertUtil,getWeekCnSn.(I)Ljava/lang/Object;,60
harithan81,com.lm.service,BookService,borrowBook.(I)Ljava/lang/Object;,29
WyattPearson,-,Board,getPos.(I)Ljava/lang/Object;,34
cyanskies,au.edu.deakin.ice.meltdown,SoundManager,stop.(I)V,28
MikeLydeamore,powercrystals.core.gui.controls,Button,getTextColor.(II)I,28
gpfjeff,com.gpfcomics.android.ppp,Cardset,setNumberOfColumns.(I)V,28
jglewis93,com.example.jon.restroomradar,SchemaContract,getLatitude.(I)D,28
eevans,SevenZip.Compression.LZ,InWindow,GetMatchLen.(III)I,33
fabiuz7,edu.priceton.cs.graph,DigraphGenerator,rootedOutTree.(I)Ljava/lang/Object;,27
TBtomislav,jxl.write.biff,WritableWorkbookImpl,getReadSheet.(I)Ljava/lang/Object;,27
ey-,com.aje.logic16.app.serverApi,api,getHighScore.(I)Ljava/lang/Object;,28
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.sample11listfragment.controller,CartoonAdapter,getItemId.(I)J,29
caseyjames,assignment5,MyLinkedList,get.(I)Ljava/lang/Object;,27
fbrass,de.spqr.activitiderbysoapservice,PartServer,changeTireAmount.(I)Z,29
linsonzhao,video.app.autobahn,ByteBufferOutputStream,expand.(I)V,28
TBtomislav,jxl.write.biff,RowRecord,getCell.(I)Ljava/lang/Object;,30
zhangruoxu,VC.CodeGen,Emitter,emitASTORE.(I)V,33
TBtomislav,jxl.format,Colour,getInternalColour.(I)Ljava/lang/Object;,30
twitter,com.twitter.http2,HttpConnection,getSendWindowSize.(I)I,37
KenyStev,-,PalindromoAir,income.(I)D,28
jordanywhite,edu.up.cs301.game.config,GameConfig,getSelType.(I)Ljava/lang/Object;,27
divinebooger,-,ArrayList61B,get.(I)Ljava/lang/Object;,85
MikeLydeamore,powercrystals.core.gui.controls,ListBox,onScroll.(I)V,35
KenyStev,-,BinaryStdOut,writeByte.(I)V,109
twitter,com.twitter.http2,HttpConnection,removePendingWrite.(I)Ljava/lang/Object;,29
sheryanresutov,gui,CardGrid,removeCard.(I)V,28
srivathsarao,com.vertexnet.realestate.model.tablemodel,PaymentPlansTableModel,getValueAt.(II)Ljava/lang/Object;,27
voodoodyne,org.subethamail.smtp.io,ThresholdingOutputStream,checkThreshold.(I)V,27
sheryanresutov,gui,Card,getID.(I)I,113
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,eliminarOrdenProducto.(I)Z,31
TBtomislav,jxl.write.biff,WritableWorkbookImpl,moveSheet.(II)Ljava/lang/Object;,30
TBtomislav,jxl.write.biff,RowRecord,setOutlineLevel.(I)V,29
netixx,fr.enst.infsi351.notedown.fragment,SideBySidePdfRendererFragment,renderMarkers.(I)V,29
TomWerner,com.wernerapps.ezbongo.StopListing,ExpandableSwipeAdapter,getChildId.(II)J,28
jhonnybsg,br.com.gamezes.screens,PlayerSelectScreen,keyDown.(I)Z,29
eevans,SevenZip.Compression.LZ,InWindow,GetIndexByte.(I)B,28
martincameron,micromod,Instrument,setVolume.(I)V,32
MikeLydeamore,cofh.gui,GuiTextList,mouseClicked.(IIII)Ljava/lang/Object;,28
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,skipBytes.(I)V,32
vehicle-history,io.vehiclehistory.fragment,NavigationDrawerFragment,selectItem.(I)V,28
gpfjeff,com.gpfcomics.android.ppp,Cardset,isValidNumberOfRows.(I)Z,27
twitter,com.twitter.http2,HttpConnection,isRemoteSideClosed.(I)Z,28
clhernandez,cl.usach.lab1.rrhh.rmi.client,ClienteRrhhRMI,eliminarTrabajador.(I)Z,28
caseyjames,assignment8,HashTable,nextPrime.(I)I,27
twitter,com.twitter.http2,HttpConnection,isLocalSideClosed.(I)Z,28
bitcrystal,de.bitcrystal.decentralizedexchange.security,BitCrystalKeyGenerator,getPasswordIterations.(I)I,32
martincameron,ibxm,Envelope,calculateAmpl.(I)I,28
dumchikov,chickens.kharkov.ua.chickens,TabsViewPagerAdapter,getItem.(I)Ljava/lang/Object;,39
DunnR,-,BinaryTree,search.(I)Z,31
Jumping-alien-W-and-M,jumpingalien.model,World,getTilePos.(I)I,28
voodoodyne,org.subethamail.smtp.server,SMTPServer,setBacklog.(I)V,27
Mandrivia,main,ProblemData,getAltitudeChanges.(II)I,28
fabiuz7,edu.priceton.cs.graph,DigraphGenerator,complete.(I)Ljava/lang/Object;,26
twitter,com.twitter.http2,HttpConnection,updateSendWindowSize.(II)I,28
voodoodyne,org.subethamail.smtp.server,SMTPServer,setMaxMessageSize.(I)V,27
voodoodyne,org.subethamail.smtp.server,SMTPServer,setMaxConnections.(I)V,28
ey-,com.aje.logic16.app.serverApi,api,getScore.(I)Ljava/lang/Object;,28
KenyStev,examen1labprg2,Empresa,search.(I)Ljava/lang/Object;,26
flypigrmvb,kankan.wheel.widget.adapters,ArrayWheelAdapter,getItemText.(I)Ljava/lang/Object;,29
caseyjames,assignment2,LibraryGeneric,getOverdueList.(III)Ljava/lang/Object;,28
frigidrain,scheduler,TaskGroup,setValue.(I)V,28
frontiertsymbal,com.frontier.giphy.utils,CircularViewPagerHandler,onPageSelected.(I)V,29
TBtomislav,jxl.write.biff,WritableWorkbookImpl,getSheet.(I)Ljava/lang/Object;,28
ronak1790,core,Database,getUsername.(I)Ljava/lang/Object;,29
KenyStev,ChessChaturanga.Logica.Pieces,Horse,validMovement.(II)Z,27
srivathsarao,com.vertexnet.realestate.model.tablemodel,PaymentPlansTableModel,getColumnName.(I)Ljava/lang/Object;,28
TheTemportalist,com.temportalist.thaumicexpansion.common.block,BlockThaumicAnalyzer,getDirection.(I)Ljava/lang/Object;,28
yitaohu,cs61b_project1,PixImage,getBlue.(II)S,29
hpu-spring87,com.hpuvoice.fragment,NavigationDrawerFragment,selectItem.(I)V,29
xianc,-,Cell,groupSolve.(IIII)V,143
fbrass,de.spqr.activitiderbysoapservice,PartServer,changeBackWindowAmount.(I)Z,29
bitcrystal,de.bitcrystal.decentralizedexchange.security,BitCrystalKeyGenerator,getByteSizeKey.(I)I,33
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.addressbook.controller,ContactAdapter,getItemViewType.(I)I,29
nikit-cpp,player,CustomPlayer,play.(I)Z,29
ahielg,hebrewDate,CalendarUtils,getJewishMonthName.(II)Ljava/lang/Object;,29
TBtomislav,jxl.format,Pattern,getPattern.(I)Ljxl/format/Pattern;,32
eevans,SevenZip.Compression.RangeCoder,Decoder,DecodeDirectBits.(I)I,30
PunchApp,com.android.volley.toolbox,PoolingByteArrayOutputStream,write.(I)V,37
phdabel,ufrgs.maslab.abstractsimulator.variables,FireStation,act.(I)V,29
endangh,p9.c,ArraysMatakuliah,deleteByIndeks.(I)V,27
fbrass,de.spqr.inventorychangeapp,PartServer,changeTireAmount.(I)Z,28
Jumping-alien-W-and-M,jumpingalien.model,Slime,hit.(I)V,32
shred,org.shredzone.feinrip.gui,NoListSelectionModel,setSelectionMode.(I)V,122
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingPreferenceActivity,findViewById.(I)Ljava/lang/Object;,32
tecnomatico,com.freelancersteam.www.java.tomafoto.dominio.dao.imp,EmpleadoDaoImp,getEmpleado.(I)Ljava/lang/Object;,29
KenyStev,ChessChaturanga.Logica.Pieces,Tower,validMovement.(II)Z,29
clrung,-,Heap,right.(I)I,28
divinebooger,huglife,HugLifeUtils,randomInt.(I)I,30
zhangruoxu,VC.CodeGen,Emitter,emitALOAD.(I)V,30
TBtomislav,jxl.write.biff,RowRecord,removeColumn.(I)V,31
DHIS2,org.dhis2.mobile.utils.date.expiryday,SixMonthlyExpiryDayValidator,monthOfYear.(I)I,29
sivang,org.kde.necessitas.origo,QtActivity,super_onCreatePanelView.(I)Ljava/lang/Object;,27
JPII,-,Bullet,increaseX.(I)V,29
eevans,SevenZip.Compression.LZMA,Base,StateUpdateMatch.(I)I,30
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,getOrdenById.(I)Ljava/lang/Object;,28
tliu17,-,ListGraph,getNeighbors.(I)Ljava/util/List;,28
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,get.(I)I,29
PunchApp,com.android.volley.toolbox,ByteArrayPool,getBuf.(I)[B,29
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,set.(III)V,28
frigidrain,scheduler,TaskGroup,createChunks.(I)V,29
srivathsarao,com.vertexnet.realestate.model.tablemodel,CustomersTableModel,getColumnClass.(I)Ljava/lang/Object;,30
TBtomislav,jxl.biff.drawing,BlipType,getType.(I)Ljxl/biff/drawing/BlipType;,40
TymchenkoIvan,com.company.web.controller,ProductsServlet,setPages.(II)I,29
WyattPearson,-,Board,drawBoard.(II)V,186
NanodegreeStudent,com.danilaeremin.nicecoffee.Adapters,SubcategoryAdapter,getCategory.(I)Ljava/lang/Object;,33
AlecinVan,storm.ingress.tools,SlotBasedCounter,wipeSlot.(I)V,33
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,eliminarCliente.(I)Z,33
DShamaev,com.hikimori911.mylastfmclient.appinterface,MainMenuAdapter,isPositionHeader.(I)Z,42
krisnaru,-,PrimeNumbers,test.(I)V,41
isince,com.ndsince.dictsv.Adapter,CustomAdapter,getItem.(I)Ljava/lang/Object;,27
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,readBits.(I)I,31
jglewis93,com.example.jon.restroomradar,SchemaContract,getLongitude.(I)D,29
harrydet,com.example.harry.wakeup,MainScreen,onListItemSelected.(I)V,26
hpu-spring87,com.hpuvoice.app,ChatActivity,viewPagerItem.(I)Ljava/lang/Object;,26
fabiuz7,edu.priceton.cs.graph,DigraphGenerator,strong.(III)Ljava/lang/Object;,53
Mandrivia,main,ProblemData,getWindVector.(III)Ljava/lang/Object;,27
alkatena,aviones.modelo,ScoreMax,esMayorElPuntaje.(I)Z,28
Jumping-alien-W-and-M,jumpingalien.model,World,getFeature.(II)Ljava/lang/Object;,27
Jumping-alien-W-and-M,jumpingalien.common.sprites,ImageSprite,scaleToWidth.(I)Ljava/lang/Object;,26
clhernandez,cl.usach.lab1.db.DAO.rrhh,TrabajadorDAO,eliminarTrabajador.(I)Z,31
jordanywhite,edu.up.cs301.game.config,GameConfig,setRemoteSelType.(I)V,30
gpfjeff,com.gpfcomics.android.ppp,Cardset,setPasscodeLength.(I)V,30
srivathsarao,com.vertexnet.realestate.model.tablemodel,EmployeesTableModel,getValueAt.(II)Ljava/lang/Object;,27
alexditu,ro.pub.cs.systems.pdsd.lab05.addressbook.controller,ContactAdapter,getItemId.(I)J,27
clear2zero,com.ksy.media.widget,MediaPlayerView,convertAngle2Orientation.(I)I,28
TBtomislav,jxl.format,Orientation,getOrientation.(I)Ljxl/format/Orientation;,49
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getMaxConcurrentStreams.(I)I,27
fbrass,de.spqr.inventorychangeapp,PartServer,changeBackWindowAmount.(I)Z,28
tecnomatico,com.freelancersteam.www.java.tomafoto.dominio.dao.imp,EmpleadoDaoImp,getEmpleadoDni.(I)Ljava/lang/Object;,29
divinebooger,-,ExceptionDemo,printPositiveNumber.(I)V,30
alexditu,ro.pub.cs.systems.pdsd.lab05.sample09baseadapter.controller,CartoonAdapter,getItemViewType.(I)I,29
clhernandez,cl.usach.lab1.db.DAO.finanzas,ClienteDAO,eliminarCliente.(I)Z,29
kinneyyan,com.yanshi.my36kr.common.view.slidingTab,SlidingTabLayout,setCustomTabView.(II)V,30
divinebooger,-,SortedComparableList,get.(I)Ljava/lang/Comparable;,29
TBtomislav,jxl.write.biff,WritableWorkbookImpl,getName.(I)Ljava/lang/Object;,28
tkleisas,org.teacake.monolith.apk,HighScoreTable,isHighScore.(I)Z,31
Jumping-alien-W-and-M,jumpingalien.common.sprites,ImageSprite,shiftHue.(I)Ljava/lang/Object;,29
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.sample11listfragment.controller,CartoonAdapter,getItemViewType.(I)I,32
CaptainSpam,net.exclaimindustries.drivelapse,DriveLapse,switchButtonStates.(I)V,29
martincameron,micromod,Macro,sqrt.(I)I,29
TBtomislav,jxl.biff.formula,FormulaErrorCode,getErrorCode.(I)Ljxl/biff/formula/FormulaErrorCode;,61
divinebooger,-,StdDrawPlus,setPenColor.(III)V,91
azaky,ecc,ECPoint,toString.(I)Ljava/lang/String;,34
immlf,ua.pp.lab101.synthesizercontrol.adregisters,ADRegister,isSuitablePositionValue.(I)Z,30
Jumping-alien-W-and-M,jumpingalien.model,World,getProperXWindow.(I)I,29
Jumping-alien-W-and-M,jumpingalien.model,World,setXWindow.(I)V,27
immlf,ua.pp.lab101.synthesizercontrol.activity.accessory,ReadDataFromCSVFileActivity,getTimeInSeconds.(III)I,28
niosus,com.learnit.learnit.fragments.learn_fragments,AbstractLearnFragment,fetchNewRandomWordsAsync.(I)V,27
igrief15,-,Board,unoccupy.(II)V,26
fbrass,de.spqr.inventorychangeapp,PartServer,changeEngineAmount.(I)Z,28
bradfordkyle11,com.kmbapps.classscheduler,AddClassSectionActivity,createSection.(I)Ljava/lang/Object;,28
compgen-io,io.compgen.common,TallyCounts,getCount.(I)J,29
SvenDub,nl.svendubbeld.car.activity,CarActivity,onConnectionSuspended.(I)V,28
Mandrivia,main,ProblemData,getScoreBalloon.(II)I,29
spiritistz,com.wordpress.hifilmtheapp,MainActivity,getOutputMediaFile.(I)Ljava/lang/Object;,28
KenyStev,com.ZeroStudio.Algorimos.week1,QuickUnionUF,union.(II)V,29
jlnunn2372,bubblePopper,ScoreBoardController,setScore.(I)V,27
yxsu,com.petuum.ps.thread,SSPRowRequestOpLogMgr,getOpLog.(I)Ljava/lang/Object;,27
jeremux,serveur,TreeImpl,aRecu.(I)Z,31
allen-dolph,com.allendolph.f1results,NavigationDrawerFragment,selectItem.(I)V,28
tliu17,-,ListGraph,areNeighbors.(II)Z,28
TheTemportalist,com.temportalist.thaumicexpansion.common.block,BlockThaumicAnalyzer,createStackedBlock.(I)Ljava/lang/Object;,28
double0291,com.android.volley.toolbox,PoolingByteArrayOutputStream,write.(I)V,28
di-ruan,shared,RDSWrapper,getCustomerCoupons.(I)Ljava/lang/Object;,28
Jumping-alien-W-and-M,jumpingalien.model,World,setWindowHeight.(I)V,27
caseyjames,assignment9,PriorityQueueHEAP,percolateDown.(I)V,31
TBtomislav,jxl.format,VerticalAlignment,getAlignment.(I)Ljxl/format/VerticalAlignment;,40
phdabel,util,MASLABRouting,getSearch.(I)Ljava/lang/Object;,29
immlf,ua.pp.lab101.synthesizercontrol.activity.accessory,ReadDataFromCSVFileActivity,checkTime.(III)Z,35
isince,com.ndsince.dictsv.Adapter,CustomAdapter,upDateFavoriteslist.(I)V,28
clhernandez,cl.usach.lab1.db.DAO.finanzas,ClienteDAO,getClienteById.(I)Ljava/lang/Object;,29
onespot,onespot.pivotal.api.dao,ProjectMembershipsDAO,getMembershipFromPersonId.(I)Ljava/lang/Object;,27
Tyrtle,trevorwarner.individualgame,Brick,setBrickHealth.(I)V,28
niosus,com.learnit.learnit.fragments.learn_fragments,AbstractLearnFragment,hideButtons.(II)V,28
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingFragmentActivity,findViewById.(I)Ljava/lang/Object;,28
twitter,com.twitter.http2,HttpHeaderBlockEncoder,setEncoderMaxHeaderTableSize.(I)V,29
SvenDub,nl.svendubbeld.car.activity,CarActivity,onGpsStatusChanged.(I)V,29
tkleisas,org.teacake.monolith.apk,SoundPoolManager,playSound.(I)V,28
GugleGH,ru.nosov.server.db.tables.logic,UsersDAOImpl,getUsersById.(I)Ljava/lang/Object;,29
srivathsarao,com.vertexnet.realestate.model.tablemodel,InstallmentsTableModel,getColumnName.(I)Ljava/lang/Object;,27
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,canOutput_Item.(I)Z,29
